Keyword Found,Address,Price,Area IN Sqft,LotSize in Sqft,Bedroom,Bathroom
remodel,"1736 Saint Anthony Dr, San Jose, CA 95125",2397500,2917,8977,5,3
remodel,"1621 Fairlawn Ave, San Jose, CA 95125",1699999,2245,8960,4,3
remodel,"1081 Lincoln Ct, San Jose, CA 95125",1698000,1731,6459,3,2
remodel,"5121 Poston Dr, San Jose, CA 95136",1099000,1495,6298,4,2
renovate,"1124 Dean Ave, San Jose, CA 95125",1099950,728,4364,2,1
remodel,"1165 Doralee Way, San Jose, CA 95125",2199000,2184,9822,3,3
remodel,"109 Red River Way, San Jose, CA 95136",974000,1632,8768,4,2
remodel,"3643 Lynx Dr, San Jose, CA 95136",1150000,1954,6006,4,3
remodel,"6573 Radko Dr, San Jose, CA 95119",1275000,2386,6229,4,3
remodel,"195 Senter Rd, San Jose, CA 95111",769000,1123,4987,3,2
remodel,"1392 Darwin Ct, San Jose, CA 95122",749888,1214,3253,3,2
renovate,"1421 Firestone Loop, San Jose, CA 95116",759000,1338,2700,3,3
remodel,"621 Fuller Ave, San Jose, CA 95125",1349900,1522,6730,3,2
remodel,"430 Cloverdale Ln, San Jose, CA 95008",2438000,3129,10206,4,5
remodel,"207 Kona Pl, San Jose, CA 95119",989000,1408,6037,4,2
remodel,"338 Burning Tree Dr, San Jose, CA 95119",1099000,1750,6024,4,2
renovate,"5242 Vera Ln, San Jose, CA 95111",888888,1838,3558,3,3
remodel,"5084 Calwa Ct, San Jose, CA 95111",1280888,2354,7492,5,3
remodel,"20 Manning Ave, San Jose, CA 95127",825000,1432,5157,4,2
remodel,"5041 Mccoy Ave, San Jose, CA 95130",1399000,1127,6041,3,2
remodel,"4754 Parkwest Dr, San Jose, CA 95130",1149000,1185,6250,3,2
renovate,"785 Malone Rd, San Jose, CA 95125",1199888,1527,6351,4,2
remodel,"1302 Fleming Ave, San Jose, CA 95127",1299000,2378,8690,4,3
remodel,"1324 Ridgewood Dr, San Jose, CA 95118",1250000,1700,6477,3,2
remodel,"2927 Murtha Dr, San Jose, CA 95127",750000,1241,6534,3,2
renovate,"883 Malone Rd, San Jose, CA 95125",1375000,1338,6538,3,2
remodel,"4090 Golf Dr, San Jose, CA 95127",1325000,1950,10153,3,3
renovate,"357 W Virginia St, San Jose, CA 95125",849000,867,3118,2,1
remodel,"1751 Terilyn Ave, San Jose, CA 95122",699950,960,4900,3,1
remodel,"2974 Gardendale Dr, San Jose, CA 95125",1498000,1796,9988,3,3
remodel,"10401 Observatory Dr, San Jose, CA 95127",1349000,2336,9278,4,2
remodel,"1848 Macduee Way, San Jose, CA 95121",918888,1457,6934,4,2
remodel,"1184 Koch Ln, San Jose, CA 95125",2195000,2635,11325.6,5,3
remodel,"3219 Almansa Ct, San Jose, CA 95127",1285000,1504,7318,3,2
remodel,"1048 Avondale St, San Jose, CA 95129",2199000,1830,6059,4,2
remodel,"1365 Lansing Ave, San Jose, CA 95118",1199000,1232,6699,3,2
remodel,"3240 Trovare Ct, San Jose, CA 95135",1655000,2425,4464,5,3
remodel,"3414 Meadowlands Ln, San Jose, CA 95135",1949000,2983,16117.2,4,3
remodel,"5245 Manderston Dr, San Jose, CA 95138",1445000,1817,3841,3,3
remodel,"1453 Rue Avati, San Jose, CA 95131",999888,1234,7318,3,2
remodel,"1007 N 3rd St, San Jose, CA 95112",1349000,1852,6272,3,2
remodel,"1194 N Monroe St, San Jose, CA 95128",1499000,2342,6542,4,3
remodel,"5676 Morningside Dr, San Jose, CA 95138",1848000,2833,8232,3,3
remodel,"1420 Forrestal Ave, San Jose, CA 95110",985000,1006,4948,2,1
remodel,"5576 Southcrest Way, San Jose, CA 95123",1049000,1745,5889,3,2
renovate,"613 S Clover Ave, San Jose, CA 95128",1570000,2597,6006,5,3
remodel,"383 N 17th St, San Jose, CA 95112",735500,1156,5762,2,1
remodel,"694 N Baywood Ave, San Jose, CA 95128",1350000,1134,5292,3,2
renovate,"6311 Sponson Ln, San Jose, CA 95123",998000,1412,5401,4,2
remodel,"3397 Tully Rd, San Jose, CA 95148",925000,1288,7217,3,2
remodel,"429 N 13th St, San Jose, CA 95112",1425000,2028,6385,7,4
remodel,"349 Madison Dr, San Jose, CA 95123",936000,1554,6446,3,2
remodel,"1750 Lorenzen Dr, San Jose, CA 95124",2350000,2960,7988,5,3
remodel,"1084 Royal Acres Ct, San Jose, CA 95136",1200000,1540,6050,3,2
remodel,"1719 Hillsdale Ave, San Jose, CA 95124",1249000,2015,6194,4,3
remodel,"487 N 19th St, San Jose, CA 95112",1050000,1510,5710,3,2
remodel,"4610 Hampton Falls Pl, San Jose, CA 95136",999898,1992,1298,3,3
remodel,"5131 Ishimatsu Pl, San Jose, CA 95124",1650000,1913,6634,3,2
remodel,"4758 Corte De Avellano, San Jose, CA 95136",899999,1507,3219,3,2
remodel,"3834 Arbuckle Dr, San Jose, CA 95124",1090000,1090,6385,3,1
remodel,"1637 Jacob Ave, San Jose, CA 95124",1498000,2057,5932,4,3
remodel,"1639 Clovis Ave, San Jose, CA 95124",1450000,2015,7013,4,2
renovate,"4623 Tonino Dr, San Jose, CA 95136",1149000,1514,6412,4,3
remodel,"3182 Taper Ave, San Jose, CA 95124",1298000,1281,6163,3,2
